ItemNumber,Description,PrimaryVendorNumber,VendorItem,MfgId,MfgName,MfgItemCount,LastCost,StdCost,AvgCost,Revision,ItemLeadTime,DefaultWhse,TotalQty
23-10076-0106,"1V +85C RADIAL 5X11MM 0.8MOD RoHS",WHI100,"12201-1003-0465-EIL",,,0,0.007400000000000000,0.007400,0.007400,,91,ELANSR,3495.000000
23-10077-0107,"CAP EL 100uF/35V 20% 105C SM 6.25mmD X 7.7mmH RoHS",FUT100,"UWT1V101MCL1GS",,,16,0.147000000000000000,0.127561,0.140582,,210,ELANSR,2295.000000
23-10078-0106,"CAP TANT 100uF/10V 10% 125C LESR 2312 RoHS",TTI100,"593D107X9010C2TE3",VIS500,"Vishay",2,0.187000000000000000,0.187000,0.187005,,234,ELANSR,2599.000000
23-10078-0476,"CAP TANT 47UF 10% 10V 2312 RoHS",DIG100,"T491C476K010AT",KEM500,"Kemet",1,0.316000000000000000,0.000000,0.316000,,0,ELANSR,0.000000
23-10079-0226,"CAP EL SM 22UF 35V 20PCT 105C 8MMD 10.2MMH",TTI100,"EMVE350ARA220MF55G",UNI501,"United Chemiconn",8,0.064000000000000000,0.059832,0.050465,,112,ELANSR,750.000000
23-10079-0227,"CAP EL SM 220UF 35V 20PCT 105C 8MMD 10.2MMH",TTI100,"EEE-HA1V221UP",,,10,0.183000000000000000,0.146000,0.156216,,140,ELANSR,3972.000000
23-10079-0477,"CAP EL SM 470UF 35V 20PCT 105C 10MMD 13.5MMH",TTI100,"UCL1V471MNL1GS",NIC500,"Nichicon",7,0.249000000000000000,0.253219,0.249004,,280,ELANSR,2021.000000
23-10079-0686,"CAP EL SM 68UF 35V 20PCT 105C 6.25MMD 6.1MMH",ARR100,"EEE-FT1V680AP",PAN500,"Panasonic",1,0.149400000000000000,0.149400,0.149400,,126,ELANSR,123.000000
23-10081-0107,"CAP EL 100uF/16V 20% 105C 6.25mmD X 2.5mmLS Low ESR RoHS",MOU100,"661-ELXZ160ELL101MFB",,,2,0.123000000000000000,0.123000,0.119430,,84,ELANSR,135.000000
23-10081-0127,"CAP EL 120uF/16V 20% 105C 6.25mmD X 2.5mmLS Low ESR RoHS",TTI100,"EEU-FM1C121",PAN500,"Panasonic",3,0.060070000000000000,0.065306,0.065306,,84,ELANSR,1387.000000
23-10082-0106,"CAP EL 10uF/25V 20% 85C RADIAL 5mmD 2.5mmLS RoHS",DIG100,"P5148-ND",,,1,0.040000000000000000,0.040000,0.040000,,84,ELANSR,796.000000
23-10083-0227,"EL 220uF/400V 20% 105C RADIAL 30mmD x 10mmLS RoHS",TTI100,"LGU2G221MELA",NIC500,"Nichicon",1,1.980000000000000000,1.980000,1.982726,,210,ELANSR,187.000000
23-10083-0277,"CAP EL 270uF/400V 20% 105C RADIAL 30mmD x 10mmLS RoHS",TTI100,"LGU2G271MELB",NIC500,"Nichicon",2,3.520000000000000000,2.830019,2.830019,,210,ELANSR,50.000000
23-10084-0337,"CAP EL 330UF 50V 20% RADIAL 10mmD x 25mmH x 5mmLS RoHS",DIG100,"565-1608-ND",,,1,0.209100000000000000,0.209100,0.209100,,84,ELANSR,
