ItemNumber,Description,PrimaryVendorNumber,VendorItem,MfgId,MfgName,MfgItemCount,LastCost,StdCost,AvgCost,Revision,ItemLeadTime,DefaultWhse,TotalQty
EC-025-012SA,SA for MinnowPod Dristribution Board,,,,,0,95.397484,110.913738,95.397484,C,0,ELANSR,0
EC-025-012SASMT,SMT portion for MinnowPod Dristribution Board,,,,,0,82.694588,98.121913,82.694588,C,0,ELANSR,0
EC-025-012SATH,TH portion for MinnowPod Dristribution Board,,,,,0,12.702896,12.791825,12.702896,C,0,ELANSR,0
EC-025-013,"Hatco Thermal Control		",,,,,0,17.2640303,30.381244,17.26403,D,0,ELANSR,0
EC-025-013SA,"Subassembly for Hatco Thermal Control		",,,,,0,17.051431,30.365763,17.051431,D,0,ELANSR,0
EC-025-013SASMT,SMT Portion of Hatco Thermal Control,,,,,0,2.665987,5.257053,2.665987,D,0,ELANSR,0
EC-025-013SATH,TH portion of Hatco Thermal Control,,,,,0,14.385444,25.10871,14.385444,D,0,ELANSR,0
EC-025-014,Ovention Relay 2 - Master,,,,,0,93.78258524,18.409966,93.782585,X3,0,ELANSR,0
EC-025-014A001,Ovention Relay 2 - Serious,,,,,0,0,18.709984,80.09,B,0,ELANSR,0
EC-025-014A001SA,SA  for Ovention Relay 2 - Serious,,,,,0,0,18.197656,73.08,B,0,ELANSR,0
EC-025-014A001SASMT,SMT for Ovention Relay 2 - Serious,,,,,0,0,16.098051,61.56,B,0,ELANSR,0
EC-025-014A001SATH,TH for Ovention Relay 2 - Serious,,,,,0,0,2.099605,11.52,B,0,ELANSR,0
EC-025-014A002,Ovention Relay 2,,,,,0,76.33060553,18.709984,76.330606,B,0,ELANSR,18
EC-025-014A002SA,SA for Ovention Relay 2,,,,,0,68.075386,18.197656,68.052697,B,0,ELANSR,0
EC-025-014A002SASMT,SMT for Ovention Relay 2,,,,,0,55.788311,16.098051,55.788311,B,0,ELANSR,0
EC-025-014A002SATH,TH for  Ovention Relay 2,,,,,0,12.287075,2.099605,12.287075,B,0,ELANSR,0
EC-025-014SA,SA for Ovention Relay - Master,,,,,0,69.360451,17.842656,69.360451,X3,0,ELANSR,19
EC-025-014SASMT,SMT for Ovention Relay - Master,,,,,0,57.79,15.938051,57.79,X3,0,ELANSR,0
EC-025-014SATH,TH for Ovention Relay - Master,,,,,0,11.570451,1.904605,11.570451,X3,0,ELANSR,0
EC-025-015,Hatco Locker Control,,,,,0,24.148078,0,24.148078,X2,0,ELANSR,0
EC-025-015A001,Hatco Locker Control,,,,,0,23.76527714,0,23.765277,X1,0,ELANSR,0
EC-025-015A001SA,SA for Hatco Locker Control,,,,,0,23.312577,0,23.312577,X1,0,ELANSR,0
EC-025-015A001SASMT,SMT for Hatco Locker Control,,,,,0,21.300036,0,21.300036,X1,0,ELANSR,0
EC-025-015A001SATH,TH for Hatco Locker Control,,,,,0,2.012541,0,2.012541,X1,0,ELANSR,0
EC-025-015SA,SA for Hatco Locker Control,,,,,0,24.148078,0,24.148078,X2,0,ELANSR,0
EC-025-015SASMT,SMT for Hatco Locker Control,,,,,0,21.297993,0,21.297993,X2,0,ELANSR,0
EC-025-015SATH,TH for Hatco Locker Control,,,,,0,2.850085,0,2.850085,X2,0,ELANSR,0
EC-025-016,Hatco Display Board,,,,,0,21.072504,0,21.072504,RKX3,0,ELANSR,0
EC-025-016A001,Hatco Display Board (LCD),,,,,0,20.34334187,0,20.343342,RKX1,0,ELANSR,0
EC-025-016A001SA,SA for Hatco Display Board (LCD),,,,,0,19.093447,0,19.093447,RKX1,0,ELANSR,0
EC-025-016A001SASMT,SMT for Hatco Display Board (LCD),,,,,0,15.572485,0,15.572485,RKX1,0,ELANSR,0
EC-025-016A001SATH,TH for Hatco Display Board (LCD),,,,,0,3.520962,0,3.520962,RKX1,0,ELANSR,0
EC-025-016A002,Hatco Display Board with LED,,,,,0,23.25670313,0,23.256703,X3,0,ELANSR,0
EC-025-016A002SA,SA for Hatco Display Board with LED,,,,,0,22.134952,0,22.134952,X3,0,ELANSR,0
EC-025-016A002SASMT,SMT for Hatco Display Board with LED,,,,,0,16.105495,0,16.105495,X3,0,ELANSR,0
EC-025-016A002SATH,TH for Hatco Display Board with LED,,,,,0,6.029457,0,6.029457,X3,0,ELANSR,0
EC-025-016B001,Hatco Display Board with LED,,,,,0,24.23736985,0,24.23737,A,0,ELANSR,0
EC-025-016B001SA,SA for Hatco Display Board with LED,,,,,0,22.985382,0,22.985382,A,0,ELANSR,0
EC-025-016B001SASMT,SMT for Hatco Display Board with LED,,,,,0,17.46442,0,17.46442,A,0,ELANSR,0
EC-025-016B001SATH,TH for Hatco Display Board with LED,,,,,0,5.520962,0,5.520962,A,0,ELANSR,0
EC-025-016SA,SA for Hatco Display Board,,,,,0,20.163413,0,20.163413,RKX3,0,ELANSR,0
EC-025-016SASMT,SMT for Hatco Display Board,,,,,0,16.811034,0,16.811034,RKX3,0,ELANSR,0
EC-025-016SATH,TH for Hatco Display Board,,,,,0,3.352379,0,3.352379,RKX3,0,ELANSR,0
EC-025-017A001,"Hatco 3.5"" Display Temp Control ",,,,,0,23.802319,0,23.802319,X1,0,ELANSR,0
EC-025-017A001SA,"SA for Hatco 3.5"" Display Temp Control",,,,,0,23.802319,0,23.802319,X1,0,ELANSR,0
EC-025-017A001SASMT,"SMT for Hatco 3.5"" Display Temp Control",,,,,0,21.416984,0,21.416984,X1,0,ELANSR,0
EC-025-017A001SATH,"TH for Hatco 3.5"" Display Temp Control",,,,,0,2.385335,0,2.385335,X1,0,ELANSR,0
EC-025-018A001,Hatco 12 Relay NTC,,,,,0,16.491461,0,16.491461,X1,0,ELANSR,0
EC-025-018A001SA,SA for Hatco 12 Relay NTC,,,,,0,16.491461,0,16.491461,X1,0,ELANSR,0
EC-025-018A001SASMT,SMT for Hatco 12 Relay NTC,,,,,0,14.688699,0,14.688699,X1,0,ELANSR,0
EC-025-018A001SATH,TH for Hatco 12 Relay NTC,,,,,0,1.802762,0,1.802762,X1,0,ELANSR,0
EC-026-001,"OCS Control, Main",WHI100,EC-026-001LF,,,0,32.0277,33.960409,32.330538,,7,ELANSR,0
EC-026-001A001,OCS Main w/ Triacs,,,,,0,31.96683594,0.024599,31.966836,G,7,ELANSR,0
EC-026-001A001IN,INTERNAL ASSEMBLY EC-026-001A001 OCS MAIN,,,,,0,33.417636,0.024599,33.417636,INC,7,ELANSR,0
EC-026-001A001SA,Finished Subassembly EC-026-001A001,SUR100,EC-026-001A001LF,,,0,31.95,0,31.95,G,7,ELANSR,0
EC-026-001A001SAIN,Internal Subassembly for OCS Main Control,,,,,0,24.844069,29.63602,24.844069,G,7,ELANSR,0
EC-026-001A001SASMT,SMT portion of Subassembly EC-026-001A001,,,,,0,11.61609,13.008714,11.656411,G,14,ELANSR,0
EC-026-001A001SATH,TH  portion of Subassembly EC-026-001A001,,,,,0,12.52866,15.735441,12.52866,G,14,ELANSR,0
EC-026-001A002,OCS Main - Modification,,,,,0,33.9,28.358013,33.9,E,7,ELANSR,0
EC-026-001A002SA,Subassembly for OCS main control,SUR100,EC-026-001A002SA,,,0,33.9,28.358013,33.9,E,7,ELANSR,0
EC-026-001A003,OCS Main Control - EU,,,,,0,29.60106174,26.60964,29.601062,B,7,ELANSR,0
EC-026-001A003CM,OCS Main Control - EU,CMP100,,,,0,0,0,0,,0,ELANSR,0
EC-026-001A003SA,Subassembly_OCS Main Control - EU,CMP100,EC-026-001A003SA,,,0,29.535253,26.588881,29.58946,B,7,ELANSR,0
EC-026-001A003SAIN,Internal Subassembly for OCS Main Control - EU,,,,,0,32.39081991,31.24516,32.386497,B,7,ELANSR,0
EC-026-001A003SASMT,SMT Portion for OCS Main Control - EU,,,,,0,15.139555,12.798821,15.139555,B,14,ELANSR,0
EC-026-001A003SATH,TH Portion for OCS Main Control - EU,,,,,0,16.193563,17.430808,16.193563,B,14,ELANSR,0
EC-026-001A004,Follett OCS Main Control,,,,,0,52.89720202,-1.420635,52.897202,A,0,ELANSR,0
EC-026-001A004SA,SA for Follett OCS Main Control,CMP100,EC-026-001A004SA,,,0,41.67,-1.770484,41.67,A,0,ELANSR,0
EC-026-001A004SASMT,SMT for Follett OCS Main Control,,,,,0,14.33832796,-1.842136,14.338328,A,0,ELANSR,0
EC-026-001A004SATH,TH for Follett OCS Main Control,,,,,0,13.868513,0.071652,13.868513,A,0,ELANSR,0
EC-026-001SA,OCS Control PCBA,WHI100,EC-026-001LF,,,0,32.0277,14.994024,14.887413,,7,ELANSR,0
EC-026-002,OCS UI,,,,,0,24.1,-0.771417,24.1,K,7,ELANSR,0
EC-026-002IN,INACTIVE>>>>>INTERNAL ASSEMBLY OF EC-026-002 OCS UI,,,,,0,15.682486,-0.771417,15.680055,INH,7,ELANSR,0
